,product_name,brand,category,material_type,firmness,price,width,length,thickness,image_url,link,popularity_score
0,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,6712000.0,120.0,200.0,5.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
1,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,7808000.0,120.0,200.0,10.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
2,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,12608000.0,120.0,200.0,15.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
3,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,7352000.0,140.0,200.0,5.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
4,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,9408000.0,140.0,200.0,10.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
5,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,14608000.0,140.0,200.0,15.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
6,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,7832000.0,160.0,200.0,5.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
7,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,10848000.0,160.0,200.0,10.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
8,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,16688000.0,160.0,200.0,15.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
9,Nệm cao su thiên nhiên Gummi Classic thế hệ mới dày 5/10/15cm,Gummi,Cao su,Cao su thiên nhiên,Cứng vừa,8952000.0,180.0,200.0,5.0,"https://cdn-cf-ops.vuanem.com/186x186,webp,q80/https://vuanem.com/storage/products/1103/cdnEHrvHBVGTCtTMRe5lqcnXC3krNxG3W9sleAIX.png",https://vuanem.com/nem-cao-su-gummi-classic.html?sku=10302009,536.8203949080145
